"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"averti à mots couverts#i-negative";"1";"1";"1";"avertir à mot couvert";"V P N G";"averti#12 à#3391 mots#24 couverts#1"
"une source de motivation#d-positive";"1";"1";"1";"un source de motivation";"D N P N";"une#1869 source#53 de#8089 motivation#1"
"ont porté plainte contre#d-strongnegative";"1";"1";"1";"avoir porter plainte contre";"V V N P";"ont#566 porté#7 plainte#7 contre#296"
"installe une dictature socialiste#i-strongnegative";"1";"1";"1";"installer un dictature socialiste";"V D N G";"installe#1 une#1869 dictature#5 socialiste#70"
"ne veulent absolument pas#i-strongnegative";"1";"1";"1";"ne vouloir absolument pas";"G V G G";"ne#712 veulent#40 absolument#10 pas#968"
"promis de se défendre#d-positive";"1";"1";"1";"promettre de se défendre";"V P Q V";"promis#15 de#8089 se#618 défendre#19"
"manifeste davantage d' intérêt#d-positive";"1";"1";"1";"manifester davantage d' intérêt";"V G P N";"manifeste#6 davantage#16 d'#2042 intérêt#37"
"n' avait pas exclu#d-positive";"1";"1";"1";"n' avoir pas exclure";"G V G V";"n'#439 avait#302 pas#968 exclu#5"
"tailler dans les dépenses#i-negative";"1";"1";"1";"tailler dans le dépense";"V P D N";"tailler#2 dans#1181 les#3217 dépenses#42"
"n’ a pas souhaité#d-negative";"1";"1";"1";"n’ avoir pas souhaiter";"Q V G V";"n’#107 a#2702 pas#968 souhaité#19"
"n’ a pas ménagé#d-negative";"1";"1";"1";"n’ avoir pas ménager";"G V G V";"n’#107 a#2702 pas#968 ménagé#1"
"le moyen de commencer#d-positive";"1";"1";"1";"le moyen de commencer";"D N P V";"le#4156 moyen#12 de#8089 commencer#20"
"important pour l' europe#d-strongpositive";"1";"1";"1";"important pour le Europe";"G P D N";"important#15 pour#1653 l'#3450 europe#595"
"marquent encore très fortement#i-strongpositive";"1";"1";"1";"marquer encore très fortement";"V G G G";"marquent#1 encore#150 très#195 fortement#14"
"n' est pas transposable#d-negative";"1";"1";"1";"n' être pas transposable";"G V G G";"n'#439 est#1565 pas#968 transposable#1"
"la même relation amicale#d-strongpositive";"1";"1";"1";"le même relation amical";"D G N G";"la#5587 même#260 relation#56 amicale#15"
"avait refusé de commenter#i-negative";"1";"1";"1";"avoir refuser de commenter";"V V P V";"avait#302 refusé#15 de#8089 commenter#22"
"tentent simplement de profiter#d-positive";"1";"1";"1";"tenter simplement de profiter";"V G P V";"tentent#2 simplement#10 de#8089 profiter#6"
"est "" moins profonde#d-positive";"1";"1";"1";"être &quot; moins profond";"V O G G";"est#1565 ""#3535 moins#100 profonde#2"
"ne pouvons pas dire#i-strongnegative";"1";"1";"1";"ne pouvoir pas dire";"G V G V";"ne#712 pouvons#20 pas#968 dire#67"
"du mal à convaincre#i-negative";"1";"1";"1";"du mal à convaincre";"D N P V";"du#1788 mal#38 à#3391 convaincre#18"
"ne s' isole pas#d-negative";"1";"1";"1";"ne s' isoler pas";"G Q V G";"ne#712 s'#502 isole#1 pas#968"
"le plus grand risque#d-strongnegative";"0";"2";"3";"le plus grand risque";"D G G N";"le#4156 plus#694 grand#88 risque#43"
"soulève beaucoup de problèmes#i-strongnegative";"0";"1";"2";"soulever beaucoup de problème";"V G P N";"soulève#2 beaucoup#73 de#8089 problèmes#30"
"se retourne contre elle#i-negative";"0";"1";"2";"se retourner contre elle";"Q V P P";"se#618 retourne#3 contre#296 elle#564"
"a tendu la main#d-strongpositive";"0";"1";"2";"avoir tendre le main";"V V D N";"a#2702 tendu#10 la#5587 main#23"
"« extrêmement vague »#d-negative";"0";"1";"2";"« extrêmement vague »";"C G G P";"«#1032 extrêmement#12 vague#4 »#1050"
"ont provoqué un désastre#i-strongnegative";"0";"1";"2";"avoir provoquer un désastre";"V V D N";"ont#566 provoqué#11 un#2096 désastre#7"
"grande femme d' etat#d-strongpositive";"0";"1";"5";"grand femme d' Etat";"G N P N";"grande#159 femme#51 d'#2042 etat#125"
"n' a pas réussi#i-negative";"0";"1";"2";"n' avoir pas réussir";"G V G V";"n'#439 a#2702 pas#968 réussi#22"
"l' intransigeance égoïste »#d-strongnegative";"0";"1";"7";"le intransigeance égoïste »";"D N G P";"l'#3450 intransigeance#34 égoïste#29 »#1050"
"« trop tôt »#d-negative";"0";"1";"2";"« trop tôt »";"V G G V";"«#1032 trop#67 tôt#20 »#1050"
"a souligné la nécessité#i-positive";"0";"1";"4";"avoir souligner le nécessité";"V V D N";"a#2702 souligné#58 la#5587 nécessité#25"
"nous ne devons pas#d-strongnegative";"0";"1";"2";"lui ne devoir pas";"Q G V G";"nous#527 ne#712 devons#35 pas#968"
"jouer à l' apprenti sorcier#d-negative";"1";"1";"1";"jouer à le apprenti sorcier";"V P D V V";"jouer#17 à#3391 l'#3450 apprenti#2 sorcier#2"
"part active dans les combats#d-negative";"1";"1";"1";"part actif dans le combat";"N G P D N";"part#57 active#6 dans#1181 les#3217 combats#1"
"s' annonce longue et difficile#i-strongnegative";"1";"1";"1";"s' annoncer long et difficile";"Q V G C G";"s'#502 annonce#35 longue#13 et#2810 difficile#25"
"avancer vers un pacte mondial#d-strongpositive";"1";"1";"1";"avancer vers un pacte mondial";"V P D N G";"avancer#24 vers#70 un#2096 pacte#20 mondial#11"
"s' est empressée de féliciter#d-strongpositive";"1";"1";"1";"s' être empresser de féliciter";"Q V V P V";"s'#502 est#1565 empressée#1 de#8089 féliciter#7"
"n' est pas en faveur#d-strongnegative";"1";"1";"1";"n' être pas en faveur";"G V G P N";"n'#439 est#1565 pas#968 en#2439 faveur#31"
"pas d' une réhabilitation politique#d-negative";"1";"1";"1";"pas d' un réhabilitation politique";"G P D N G";"pas#968 d'#2042 une#1869 réhabilitation#1 politique#335"
"se sont félicité du choix#i-strongpositive";"1";"1";"1";"se être féliciter du choix";"Q V V D N";"se#618 sont#418 félicité#9 du#1788 choix#27"
"devenue un objet de clivage#i-negative";"1";"1";"1";"devenir un objet de clivage";"V D N P N";"devenue#19 un#2096 objet#4 de#8089 clivage#2"
"n' est évidemment pas anodine#d-positive";"1";"1";"1";"n' être évidemment pas anodin";"G V G G G";"n'#439 est#1565 évidemment#3 pas#968 anodine#1"
"avance à pas de loup#i-negative";"1";"1";"1";"avancer à pas de loup";"V P G P G";"avance#18 à#3391 pas#968 de#8089 loup#1"
"vouloir profiter de leur liberté#i-negative";"1";"1";"1";"vouloir profiter de son liberté";"V V P D N";"vouloir#20 profiter#6 de#8089 leur#210 liberté#24"
"a qualifié de "" positif#i-positive";"1";"1";"1";"avoir qualifier de &quot; positif";"V V P O G";"a#2702 qualifié#14 de#8089 ""#3535 positif#6"
