"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"er kommt#unknown";"1";"1";"1";"er kommen";"Q V";"er#1124 kommt#109"
"klare verhältnisse#unknown";"1";"1";"1";"klar Verhältnis";"G N";"klare#38 verhältnisse#7"
"die böllerschüsse#unknown";"1";"1";"1";"die Böllerschuss";"D N";"die#10176 böllerschüsse#1"
"die zunahme#unknown";"1";"1";"1";"die Zunahme";"D N";"die#10176 zunahme#1"
"systemrelevante banken#unknown";"1";"1";"1";"Systemrelevante Bank";"O N";"systemrelevante#1 banken#98"
"unser staat#unknown";"1";"1";"1";"unser Staat";"Q N";"unser#31 staat#54"
"ihre streitpunkte#unknown";"1";"1";"1";"ihr Streitpunkt";"Q N";"ihre#346 streitpunkte#8"
"die leihstimmenkampagne#unknown";"1";"1";"1";"die Leihstimmenkampagne";"D O";"die#10176 leihstimmenkampagne#1"
"seiner arbeit#unknown";"1";"1";"1";"sein Arbeit";"Q N";"seiner#261 arbeit#93"
"janukowitschs rücktritt#unknown";"1";"1";"1";"Janukowitschs Rücktritt";"O N";"janukowitschs#7 rücktritt#25"
"deutscher soldaten#unknown";"1";"1";"1";"deutsch Soldat";"G N";"deutscher#37 soldaten#11"
"jobvernichtung stoppen#unknown";"1";"1";"1";"Jobvernichtung stoppen";"O V";"jobvernichtung#1 stoppen#19"
"neuen schuldenschnitt#unknown";"1";"1";"1";"neu Schuldenschnitt";"G O";"neuen#219 schuldenschnitt#15"
"eine direktwahl#unknown";"1";"1";"1";"eine Direktwahl";"D N";"eine#1818 direktwahl#1"
"die einigung#unknown";"0";"2";"15";"die Einigung";"D N";"die#10176 einigung#110"
"die vorwürfe#unknown";"0";"2";"13";"die Vorwurf";"D N";"die#10176 vorwürfe#36"
"weiterem blutvergießen#unknown";"0";"2";"4";"weit Blutvergießen";"G N";"weiterem#6 blutvergießen#6"
"solche praktiken#unknown";"0";"2";"4";"solche Praktik";"Q N";"solche#63 praktiken#11"
"diese einigung#unknown";"0";"2";"4";"dies Einigung";"Q N";"diese#279 einigung#110"
"die usa#unknown";"0";"2";"123";"die USA";"D R";"die#10176 usa#328"
"die ukraine#unknown";"0";"2";"62";"die Ukraine";"Q R";"die#10176 ukraine#174"
"die finanzkrise#unknown";"0";"1";"6";"die Finanzkrise";"D N";"die#10176 finanzkrise#18"
"die bezüge#unknown";"0";"1";"2";"die Bezug";"D N";"die#10176 bezüge#3"
"den grünen#unknown";"0";"1";"34";"die Grüne";"D N";"den#2898 grünen#250"
"die zwangsabgabe#unknown";"0";"1";"5";"die Zwangsabgabe";"D N";"die#10176 zwangsabgabe#15"
"des verbots#unknown";"0";"1";"2";"die Verbot";"D N";"des#1409 verbots#3"
