"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"gesetze gegen#d-negative";"0";"1";"2";"Gesetz gegen";"N P";"gesetze#34 gegen#576"
"sehr ordentliche#i-strongpositive";"0";"1";"3";"sehr ordentlich";"A G";"sehr#240 ordentliche#3"
"bedenken gegen#d-negative";"0";"1";"3";"Bedenken gegen";"N P";"bedenken#18 gegen#576"
"das abhören#d-negative";"0";"1";"5";"die Abhören";"D N";"das#2558 abhören#13"
"gebilligt wird#i-positive";"0";"1";"2";"billigen werden";"V V";"gebilligt#7 wird#668"
"viel zu hoch#i-strongnegative";"1";"1";"1";"viel zu hoch";"A O G";"viel#143 zu#2417 hoch#33"
"von hohem interesse#i-strongpositive";"1";"1";"1";"von hoch Interesse";"P G N";"von#2487 hohem#6 interesse#30"
"ehre für deutschland#i-positive";"1";"1";"1";"Ehre für Deutschland";"N P R";"ehre#6 für#2341 deutschland#695"
"eine innovative antwort#i-negative";"1";"1";"1";"eine innovativ Antwort";"D G N";"eine#1818 innovative#2 antwort#50"
"gut zu finanzieren#i-positive";"1";"1";"1";"gut zu finanzieren";"G O V";"gut#152 zu#2417 finanzieren#11"
"viel zu viel#i-strongnegative";"1";"1";"1";"viel zu viele";"A P Q";"viel#143 zu#2417 viel#143"
"habe sich gefreut#d-positive";"1";"1";"1";"haben sich freuen";"V Q V";"habe#511 sich#1721 gefreut#3"
"eine art tsunami#i-negative";"1";"1";"1";"eine Art Tsunami";"D N O";"eine#1818 art#29 tsunami#1"
"geht es gut#i-positive";"1";"1";"1";"gehen es gut";"V Q G";"geht#145 es#1688 gut#152"
"eine letzte klippe#i-negative";"1";"1";"1";"eine letzt Klippe";"D G N";"eine#1818 letzte#21 klippe#1"
"stösst es ab#i-negative";"1";"1";"1";"stoßen es ab";"V Q V";"stösst#2 es#1688 ab#195"
"ist entrüstet über#d-negative";"1";"1";"1";"sein entrüstet über";"V G P";"ist#1455 entrüstet#1 über#819"
"ein großer fehler#i-strongnegative";"1";"1";"1";"eine groß Fehler";"D G N";"ein#1605 großer#33 fehler#34"
"keinen neuen schuldenschnitt#i-negative";"1";"1";"1";"keine neu Schuldenschnitt";"Q G O";"keinen#81 neuen#219 schuldenschnitt#15"
"fast zu spät#i-negative";"1";"1";"1";"fast zu spät";"A O G";"fast#69 zu#2417 spät#5"
"halte nichts von#d-negative";"1";"1";"1";"halten nichts von";"V Q P";"halte#21 nichts#97 von#2487"
"wandte sich gegen#d-negative";"1";"1";"1";"wenden sich gegen";"V Q P";"wandte#12 sich#1721 gegen#576"
"mahnt zur eile#negative";"1";"1";"1";"mahnen zu Eile";"V P N";"mahnt#5 zur#550 eile#4"
"ist unser ziel#d-positive";"1";"1";"1";"sein unser Ziel";"V Q N";"ist#1455 unser#31 ziel#66"
"schon immer begeistert#d-strongpositive";"1";"1";"1";"schon immer begeistern";"A A V";"schon#238 immer#225 begeistert#11"
"kämpft vehement gegen#d-strongnegative";"1";"1";"1";"kämpfen vehement gegen";"V G P";"kämpft#9 vehement#6 gegen#576"
"rate davon ab#d-negative";"1";"1";"1";"raten davon ab";"V Q V";"rate#3 davon#81 ab#195"
"ein maßnahmenpaket gegen#d-negative";"1";"1";"1";"eine Maßnahmenpaket gegen";"D N P";"ein#1605 maßnahmenpaket#2 gegen#576"
"einen schweren fehler#i-strongnegative";"1";"1";"1";"eine schwer Fehler";"D G N";"einen#726 schweren#14 fehler#34"
"mit langem beifall#i-positive";"1";"1";"1";"mit lang Beifall";"P G N";"mit#2392 langem#21 beifall#3"
"ein zeichen gegen#d-negative";"0";"1";"2";"eine Zeichen gegen";"D N P";"ein#1605 zeichen#31 gegen#576"
"den kampf gegen#i-negative";"0";"1";"13";"die Kampf gegen";"D N P";"den#2898 kampf#85 gegen#576"
"ein bündnis mit#i-positive";"0";"1";"10";"eine Bündnis mit";"D N P";"ein#1605 bündnis#46 mit#2392"
"die hohe jugendarbeitslosigkeit#d-negative";"0";"1";"13";"die hoch Jugendarbeitslosigkeit";"D G N";"die#10176 hohe#46 jugendarbeitslosigkeit#109"
"wehrte sich gegen#d-negative";"0";"1";"2";"wehren sich gegen";"V Q P";"wehrte#5 sich#1721 gegen#576"
"eine der größten#i-strongnegative";"0";"1";"4";"eine die groß";"D D G";"eine#1818 der#9333 größten#36"
"geht nicht mehr#i-negative";"0";"1";"2";"gehen nicht mehr";"V O A";"geht#145 nicht#1882 mehr#640"
"ablehnend gegenüber gestanden#i-negative";"0";"1";"2";"ablehnend gegenüber gestehen|stehen";"G V V";"ablehnend#3 gegenüber#96 gestanden#7"
"unter beweis gestellt#i-strongpositive";"0";"1";"4";"unter Beweis stellen";"P N V";"unter#406 beweis#7 gestellt#32"
"nicht zur debatte#i-negative";"0";"1";"2";"nicht zu Debatte";"O P N";"nicht#1882 zur#550 debatte#46"
"die einzig mögliche#i-positive";"0";"1";"3";"die einzig möglich";"D G G";"die#10176 einzig#4 mögliche#37"
"nicht so stabil#i-negative";"0";"1";"4";"nicht so stabil";"O A G";"nicht#1882 so#471 stabil#9"
"viel zu hart#i-strongnegative";"0";"1";"4";"viel zu hart";"A O G";"viel#143 zu#2417 hart#17"
"eine radikale reform#i-negative";"0";"1";"4";"eine radikal Reform";"D G N";"eine#1818 radikale#7 reform#36"
"freue mich auf#d-positive";"0";"1";"4";"freuen ich auf";"V Q P";"freue#13 mich#62 auf#2145"
"geht gar nicht#i-strongnegative";"0";"1";"4";"gehen gar nicht";"V A O";"geht#145 gar#61 nicht#1882"
"ist besorgt über#d-negative";"0";"1";"2";"sein besorgt über";"V G P";"ist#1455 besorgt#19 über#819"
"freut sich über#d-positive";"0";"1";"2";"freuen sich über";"V Q P";"freut#6 sich#1721 über#819"
"es weht auch gegenwind#i-negative";"1";"1";"1";"es wehen auch Gegenwind";"Q V A N";"es#1688 weht#1 auch#1600 gegenwind#1"
"alles andere als günstig#i-negative";"1";"1";"1";"alle andere als günstig";"Q Q C G";"alles#116 andere#140 als#1144 günstig#1"
"keine anti · eu#i-positive";"1";"1";"1";"keine Anti · EU";"Q O O N";"keine#353 anti#40 ·#6707 eu#1747"
"fühle mich so wohl#d-positive";"1";"1";"1";"fühlen ich so wohl";"V Q A A";"fühle#6 mich#62 so#471 wohl#52"
"tiefer trauer und scham#i-negative";"1";"1";"1";"tief Trauer und Scham";"G N C N";"tiefer#4 trauer#6 und#5316 scham#1"
"sehr , sehr besonderer#i-strongpositive";"1";"1";"1";"sehr , sehr besonder";"A O A G";"sehr#240 ,#12432 sehr#240 besonderer#6"
"reagierten äußerst verärgert auf#d-strongnegative";"1";"1";"1";"reagieren äußerst verärgert auf";"V A G P";"reagierten#11 äußerst#5 verärgert#8 auf#2145"
"müsse dauerhaft überwunden werden#i-strongpositive";"1";"1";"1";"müssen dauerhaft überwinden werden";"V G V V";"müsse#217 dauerhaft#9 überwunden#11 werden#965"
"aus dem weg schaffen#i-positive";"1";"1";"1";"aus die Weg schaffen";"P D N V";"aus#969 dem#1586 weg#126 schaffen#43"
"viel zu hart vorgegangen#i-strongnegative";"1";"1";"1";"viel zu hart vorgehen";"A O G V";"viel#143 zu#2417 hart#17 vorgegangen#5"
"dürfen sich nicht wiederholen#i-negative";"1";"1";"1";"dürfen sich nicht wiederholen";"V Q O V";"dürfen#52 sich#1721 nicht#1882 wiederholen#8"
"das rededuell gewonnen hat#i-positive";"1";"1";"1";"die Rededuell gewinnen haben";"D N V V";"das#2558 rededuell#1 gewonnen#31 hat#832"
"macht sich gedanken über#d-negative";"1";"1";"1";"machen sich Gedanke über";"V Q N P";"macht#88 sich#1721 gedanken#13 über#819"
"zum ziel gesetzt hat#d-positive";"1";"1";"1";"zu Ziel setzen haben";"P N V V";"zum#532 ziel#66 gesetzt#9 hat#832"
"wichtiges instrument der steuergerechtigkeit#i-strongpositive";"0";"1";"16";"wichtig Instrument die Steuergerechtigkeit";"G N D N";"wichtiges#45 instrument#55 der#9333 steuergerechtigkeit#21"
"fußball auf höchstem niveau#i-strongpositive";"0";"1";"2";"Fußball auf hoch Niveau";"N P G N";"fußball#15 auf#2145 höchstem#3 niveau#7"
"eine schande für deutschland#i-negative";"0";"1";"2";"eine Schande für Deutschland";"D N P R";"eine#1818 schande#8 für#2341 deutschland#695"
"eine schande für europa#i-negative";"0";"1";"2";"eine Schande für Europa";"D N P R";"eine#1818 schande#8 für#2341 europa#652"
"muss allen klar sein#i-negative";"0";"1";"2";"müssen alle klar sein";"V Q G V";"muss#192 allen#56 klar#91 sein#377"
"sehr , sehr schwer#i-strongnegative";"0";"1";"2";"sehr , sehr schwer";"A O A G";"sehr#240 ,#12432 sehr#240 schwer#23"
"ein "" zahnloser tiger#i-negative";"0";"1";"2";"eine "" zahnlos Tiger";"D O G N";"ein#1605 ""#4635 zahnloser#3 tiger#3"
"stärker an sich binden#d-positive";"0";"1";"2";"stark an sich binden";"G P Q V";"stärker#65 an#1082 sich#1721 binden#6"
"höher als anderswo in europa#i-positive";"1";"1";"1";"hoch als anderswo in Europa";"G C A P R";"höher#11 als#1144 anderswo#5 in#5141 europa#652"
"hatten viele lobende worte für#d-positive";"1";"1";"1";"haben viele lobend Wort für";"V Q G N P";"hatten#170 viele#150 lobende#2 worte#28 für#2341"
"kein platz für politische spielchen#i-negative";"1";"1";"1";"keine Platz für politisch Spielchen";"Q N P G O";"kein#159 platz#93 für#2341 politische#57 spielchen#1"
"zu wettbewerbs · und unternehmensfeindlich#i-negative";"1";"1";"1";"zu wettbewerbs · und unternehmensfeindlich";"P O O C O";"zu#2417 wettbewerbs#3 ·#6707 und#5316 unternehmensfeindlich#1"
"mit dem feuer zu spielen#i-negative";"1";"1";"1";"mit die Feuer zu spielen";"P D N O V";"mit#2392 dem#1586 feuer#2 zu#2417 spielen#16"
"befindet sich in einer sackgasse#i-negative";"1";"1";"1";"befinden sich in eine Sackgasse";"V Q P D N";"befindet#7 sich#1721 in#5141 einer#751 sackgasse#3"
"durch immer neue prozesse ver.#i-negative";"1";"1";"1";"durch immer neu Prozess ver.";"P A G N O";"durch#263 immer#225 neue#263 prozesse#3 ver.#1"
"das wichtigste fest des jahres#i-strongpositive";"0";"1";"2";"die wichtig Fest die Jahr";"D G N D N";"das#2558 wichtigste#16 fest#48 des#1409 jahres#35"
"eine schande für die demokratie#i-negative";"0";"1";"2";"eine Schande für die Demokratie";"D N P D N";"eine#1818 schande#8 für#2341 die#10176 demokratie#37"
"ein wichtiges transitland für gaslieferungen#i-positive";"0";"1";"2";"eine wichtig Transitland für Gaslieferung";"D G N P N";"ein#1605 wichtiges#45 transitland#4 für#2341 gaslieferungen#7"
"keine anti · eu · rede#i-positive";"1";"1";"1";"keine Anti · EU · Rede";"Q O O N O N";"keine#353 anti#40 ·#6707 eu#1747 ·#6707 rede#126"
"eine der größten sorgen in europa#i-strongnegative";"1";"1";"1";"eine die groß Sorge|Sorgen in Europa";"D D G N P R";"eine#1818 der#9333 größten#36 sorgen#36 in#5141 europa#652"
"entschädigung für verluste im zweiten weltkrieg#i-positive";"1";"1";"1";"Entschädigung für Verlust in zweit Weltkrieg";"N P N P G N";"entschädigung#1 für#2341 verluste#7 im#1818 zweiten#46 weltkrieg#8"
"befindet sich in einer ganz schwierigen situation#i-negative";"1";"1";"1";"befinden sich in eine ganz schwierig Situation";"V Q P D A G N";"befindet#7 sich#1721 in#5141 einer#751 ganz#113 schwierigen#14 situation#27"
"vergleichbar der vor den jeweils zwei weltkriegen#i-negative";"1";"1";"1";"vergleichbar die vor die jeweils zwei Weltkrieg";"G D P D A O N";"vergleichbar#2 der#9333 vor#972 den#2898 jeweils#16 zwei#206 weltkriegen#1"
