"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"warnt#d-negative";"0";"2";"19";"warnen";"V";"warnt#19"
"einschränken#d-negative";"0";"2";"3";"einschränken";"V";"einschränken#3"
"unterstützt#d-positive";"0";"2";"15";"unterstützen";"V";"unterstützt#15"
"rücktritt#i-negative";"0";"2";"25";"Rücktritt";"N";"rücktritt#25"
"guter#i-positive";"0";"2";"14";"gut";"G";"guter#14"
"forderten#d-positive";"0";"2";"14";"fordern";"V";"forderten#14"
"erwartet#d-neutral";"0";"2";"72";"erwarten";"V";"erwartet#72"
"starke#i-positive";"0";"2";"28";"stark";"G";"starke#28"
"gut#i-positive";"0";"2";"152";"gut";"G";"gut#152"
"beizulegen#i-positive";"0";"1";"2";"beilegen";"V";"beizulegen#2"
"dagegen#i-negative";"0";"1";"82";"dagegen";"Q";"dagegen#82"
"demonstrierte#d-neutral";"0";"1";"5";"demonstriert";"G";"demonstrierte#5"
"abhöraffäre#d-negative";"0";"1";"14";"Abhöraffäre";"N";"abhöraffäre#14"
"unterstrich#d-positive";"0";"1";"9";"unterstreichen";"V";"unterstrich#9"
"fordern#d-positive";"0";"1";"35";"fordern";"V";"fordern#35"
"helfen#i-positive";"0";"1";"28";"helfen";"V";"helfen#28"
"übergriffe#d-negative";"0";"1";"2";"Übergriff";"N";"übergriffe#2"
"schweren#i-negative";"0";"1";"14";"schwer";"G";"schweren#14"
"einsparungen#i-negative";"0";"1";"7";"Einsparung";"N";"einsparungen#7"
"falsch#i-negative";"0";"1";"20";"falsch";"G";"falsch#20"
"keine#i-negative";"0";"1";"353";"keine";"Q";"keine#353"
"abschluss#d-negative";"0";"1";"34";"Abschluss";"N";"abschluss#34"
"affäre#d-negative";"0";"1";"54";"Affäre";"N";"affäre#54"
"verschärfen#d-negative";"0";"1";"10";"verschärfen";"V";"verschärfen#10"
"reduzieren#d-negative";"0";"1";"8";"reduzieren";"V";"reduzieren#8"
"mitschuld#i-negative";"0";"1";"8";"Mitschuld";"N";"mitschuld#8"
"glaubt#d-neutral";"0";"1";"18";"glauben";"V";"glaubt#18"
"führungsrolle#i-positive";"0";"1";"2";"Führungsrolle";"N";"führungsrolle#2"
"verluste#d-negative";"0";"1";"7";"Verlust";"N";"verluste#7"
"schwierige#i-negative";"0";"1";"8";"schwierig";"G";"schwierige#8"
"vorantreiben#i-positive";"0";"1";"3";"vorantreiben";"V";"vorantreiben#3"
"exzessive#i-negative";"0";"1";"2";"exzessiv";"G";"exzessive#2"
"enorm#i-strongnegative";"0";"1";"7";"enorm";"G";"enorm#7"
"braucht#d-negative";"0";"1";"44";"brauchen";"V";"braucht#44"
"verlangte#d-positive";"0";"1";"18";"verlangen";"V";"verlangte#18"
"leiden#i-negative";"0";"1";"5";"leiden";"V";"leiden#5"
"leidet#i-negative";"0";"1";"6";"leiden";"V";"leidet#6"
"schreckliches#i-strongnegative";"0";"1";"2";"schrecklich";"G";"schreckliches#2"
"einseitige#i-negative";"0";"1";"19";"einseitig";"G";"einseitige#19"
"rasche#i-positive";"0";"1";"11";"rasch";"G";"rasche#11"
"echte#i-positive";"0";"1";"4";"echt";"G";"echte#4"
"bekenntnis#i-positive";"0";"1";"7";"Bekenntnis";"N";"bekenntnis#7"
"intensiv#i-positive";"0";"1";"11";"intensiv";"G";"intensiv#11"
"beteuerte#d-negative";"0";"1";"4";"beteuern";"V";"beteuerte#4"
"für#d-positive";"0";"1";"2341";"für";"P";"für#2341"
"müsse#d-positive";"0";"1";"217";"müssen";"V";"müsse#217"
"sprach#d-neutral";"0";"1";"104";"sprechen";"V";"sprach#104"
"ungeschickt#i-negative";"0";"1";"2";"ungeschickt";"G";"ungeschickt#2"
"schärferen#i-negative";"0";"1";"8";"scharf";"G";"schärferen#8"
"erfolg#i-positive";"0";"1";"33";"Erfolg";"N";"erfolg#33"
"überzogenen#i-negative";"0";"1";"8";"überzogen";"G";"überzogenen#8"
"dramatischen#i-negative";"0";"1";"5";"dramatisch";"G";"dramatischen#5"
"eindrucksvoll#i-positive";"0";"1";"2";"eindrucksvoll";"G";"eindrucksvoll#2"
"schärfere#i-negative";"0";"1";"8";"scharf";"G";"schärfere#8"
"völlig#i-positive";"0";"1";"34";"völlig";"G";"völlig#34"
"unheilige#i-negative";"0";"1";"2";"unheilig";"G";"unheilige#2"
"schätze#d-positive";"0";"1";"6";"schätzen";"V";"schätze#6"
"beunruhigt#d-negative";"0";"1";"3";"beunruhigt";"G";"beunruhigt#3"
"dramatisches#i-strongnegative";"0";"1";"3";"dramatisch";"G";"dramatisches#3"
"abschaffen#d-negative";"0";"1";"9";"abschaffen";"V";"abschaffen#9"
"gibt#d-neutral";"0";"1";"209";"geben";"V";"gibt#209"
"positiven#i-positive";"0";"1";"6";"positiv";"G";"positiven#6"
"entsolidarisierung#i-negative";"0";"1";"3";"Entsolidarisierung";"O";"entsolidarisierung#3"
"lob#d-positive";"0";"1";"15";"Lob";"N";"lob#15"
"streit#i-negative";"0";"1";"49";"Streit";"N";"streit#49"
"dagegen#d-negative";"0";"1";"82";"dagegen";"Q";"dagegen#82"
"meilenstein#i-positive";"0";"1";"3";"Meilenstein";"N";"meilenstein#3"
"schwierig#i-negative";"0";"1";"14";"schwierig";"G";"schwierig#14"
"verlässliche#d-positive";"0";"1";"8";"verlässlich";"G";"verlässliche#8"
"konstruktiver#i-positive";"0";"1";"4";"konstruktiv";"G";"konstruktiver#4"
"großen#i-positive";"0";"1";"117";"groß";"G";"großen#117"
"kriminelle#i-negative";"0";"1";"7";"kriminell";"G";"kriminelle#7"
"enttäuscht#i-negative";"0";"1";"12";"enttäuscht";"G";"enttäuscht#12"
"flexible#i-positive";"0";"1";"4";"flexibel";"G";"flexible#4"
"verteidigte#d-positive";"0";"1";"26";"verteidigen";"V";"verteidigte#26"
"müssen#d-positive";"0";"1";"225";"müssen";"V";"müssen#225"
"desaster#i-strongnegative";"0";"1";"4";"Desaster";"N";"desaster#4"
"positive#i-positive";"0";"1";"12";"positiv";"G";"positive#12"
"bedauerten#d-negative";"0";"1";"2";"bedauern";"V";"bedauerten#2"
"akzeptieren#d-positive";"0";"1";"17";"akzeptieren";"V";"akzeptieren#17"
"auszusetzen#d-negative";"0";"1";"7";"aussetzen";"V";"auszusetzen#7"
"erwägt#d-positive";"0";"1";"9";"erwägen";"V";"erwägt#9"
"wirken#i-positive";"0";"1";"8";"wirken";"V";"wirken#8"
"sanierungsfall#i-negative";"0";"1";"8";"Sanierungsfall";"N";"sanierungsfall#8"
"lobte#d-strongpositive";"0";"1";"15";"loben";"V";"lobte#15"
"wertete#d-positive";"0";"1";"2";"werten";"V";"wertete#2"
"ehre#i-positive";"0";"1";"6";"Ehre";"N";"ehre#6"
"nannte#d-neutral";"0";"1";"77";"nennen";"V";"nannte#77"
"würdigte#d-positive";"0";"1";"24";"würdigen";"V";"würdigte#24"
"hohen#i-negative";"0";"1";"30";"hoch";"G";"hohen#30"
"verteidigten#d-positive";"0";"1";"2";"verteidigen";"V";"verteidigten#2"
"muss#d-positive";"0";"1";"192";"müssen";"V";"muss#192"
"weiteres#i-positive";"0";"1";"50";"weit";"G";"weiteres#50"
"schwierigen#i-negative";"0";"1";"14";"schwierig";"G";"schwierigen#14"
"ohne#i-negative";"0";"1";"167";"ohne";"P";"ohne#167"
"abkehr#d-negative";"0";"1";"9";"Abkehr";"N";"abkehr#9"
"gute#i-positive";"0";"1";"52";"gut";"G";"gute#52"
"verachtung#i-strongnegative";"0";"1";"8";"Verachtung";"N";"verachtung#8"
"gescheitert#i-negative";"0";"1";"16";"scheitern";"V";"gescheitert#16"
"mogelpackung#i-negative";"0";"1";"3";"Mogelpackung";"N";"mogelpackung#3"
"erklärten#d-neutral";"0";"1";"8";"erklären";"V";"erklärten#8"
"empörung#i-negative";"0";"1";"14";"Empörung";"N";"empörung#14"
"fürchtet#d-negative";"0";"1";"9";"fürchten";"V";"fürchtet#9"
"inakzeptabel#i-strongnegative";"0";"1";"12";"inakzeptabel";"G";"inakzeptabel#12"
"skeptisch#d-negative";"0";"1";"21";"skeptisch";"G";"skeptisch#21"
"beklagte#d-negative";"0";"1";"7";"beklagen";"V";"beklagte#7"
"vorschnellen#i-negative";"0";"1";"3";"vorschnell";"G";"vorschnellen#3"
"eindringlich#i-negative";"0";"1";"8";"eindringlich";"G";"eindringlich#8"
"mahnte#d-positive";"0";"1";"33";"mahnen";"V";"mahnte#33"
"überzogen#i-negative";"0";"1";"2";"überziehen";"V";"überzogen#2"
"unterzeichnen#d-positive";"0";"1";"16";"unterzeichnen";"V";"unterzeichnen#16"
"versicherte#d-positive";"0";"1";"17";"versichern";"V";"versicherte#17"
"gelobt#d-positive";"0";"1";"2";"geloben|loben";"V";"gelobt#2"
"erwartete#d-negative";"0";"1";"3";"erwarten";"V";"erwartete#3"
"sachlicher#i-positive";"0";"1";"2";"sachlich";"G";"sachlicher#2"
"heftige#i-negative";"0";"1";"6";"heftig";"G";"heftige#6"
"sagt#d-neutral";"0";"1";"120";"sagen";"V";"sagt#120"
"fordert#d-positive";"0";"1";"64";"fordern";"V";"fordert#64"
"stoppen#d-negative";"0";"1";"19";"stoppen";"V";"stoppen#19"
"bündeln#i-positive";"0";"1";"2";"bündeln";"V";"bündeln#2"
"hieß#d-neutral";"0";"1";"52";"heißen";"V";"hieß#52"
"unterstützen#d-positive";"0";"1";"20";"unterstützen";"V";"unterstützen#20"
"innovative#i-positive";"0";"1";"2";"innovativ";"G";"innovative#2"
"technologiesprung#d-positive";"0";"1";"2";"Technologiesprung";"O";"technologiesprung#2"
"verärgert#i-negative";"0";"1";"8";"verärgert";"G";"verärgert#8"
"unmissverständlich#i-positive";"0";"1";"4";"unmissverständlich";"G";"unmissverständlich#4"
"wollten#d-negative";"0";"1";"32";"wollen";"V";"wollten#32"
"erpressen#d-negative";"0";"1";"3";"erpressen";"V";"erpressen#3"
"wünschen#d-positive";"0";"1";"11";"wünschen";"V";"wünschen#11"
"hohem#i-positive";"0";"1";"6";"hoch";"G";"hohem#6"
"radikale#i-negative";"0";"1";"7";"radikal";"G";"radikale#7"
"kritik#i-negative";"0";"1";"118";"Kritik";"N";"kritik#118"
"keinen#i-negative";"0";"1";"81";"keine";"Q";"keinen#81"
"bedauert#d-negative";"0";"1";"2";"bedauern";"V";"bedauert#2"
"verteidigt#d-positive";"0";"1";"12";"verteidigen";"V";"verteidigt#12"
"bedauere#d-negative";"0";"1";"2";"bedauern";"V";"bedauere#2"
"möchte#d-positive";"0";"1";"29";"mögen";"V";"möchte#29"
"abziehen#d-negative";"0";"1";"2";"abziehen";"V";"abziehen#2"
"fürchten#d-negative";"0";"1";"12";"fürchten";"V";"fürchten#12"
"blutvergießen#i-negative";"0";"1";"6";"Blutvergießen";"N";"blutvergießen#6"
"wichtiges#i-positive";"0";"1";"45";"wichtig";"G";"wichtiges#45"
"nicht#i-negative";"0";"1";"1882";"nicht";"O";"nicht#1882"
"geeinigt#i-positive";"0";"1";"27";"einigen";"V";"geeinigt#27"
"super#i-strongpositive";"0";"1";"6";"super";"G";"super#6"
"vertrauen#d-positive";"0";"1";"62";"Vertrauen";"N";"vertrauen#62"
"miese#i-negative";"0";"1";"2";"mies";"G";"miese#2"
"gerne#i-positive";"0";"1";"32";"gerne";"A";"gerne#32"
"abfedern#d-positive";"0";"1";"2";"abfedern";"V";"abfedern#2"
"kritisierten#d-negative";"0";"1";"8";"kritisieren";"V";"kritisierten#8"
"verbieten#d-negative";"0";"1";"9";"verbieten";"V";"verbieten#9"
"wettbewerbsfähige#i-positive";"0";"1";"2";"wettbewerbsfähig";"G";"wettbewerbsfähige#2"
"durchsetzen#i-positive";"0";"1";"16";"durchsetzen";"V";"durchsetzen#16"
"gefordert#d-positive";"0";"1";"68";"fordern";"V";"gefordert#68"
"verweigert#d-negative";"0";"1";"7";"verweigern";"V";"verweigert#7"
"verurteilt#d-negative";"0";"1";"13";"verurteilen";"V";"verurteilt#13"
"ansieht#d-neutral";"0";"1";"3";"ansehen";"V";"ansieht#3"
"umstritten#i-negative";"0";"1";"10";"umstritten";"G";"umstritten#10"
"große#i-negative";"0";"1";"163";"groß";"G";"große#163"
"scheitern#i-negative";"0";"1";"20";"Scheitern";"N";"scheitern#20"
